"year","name","n"
1969,"Kristoffer",6
1969,"Kristol",6
1969,"Kriston",21
1969,"Kristopher",264
1969,"Kristy",1381
1969,"Kristyn",91
1969,"Kristyna",7
1969,"Kristyne",12
1969,"Krys",5
1969,"Krysta",16
1969,"Krystal",234
1969,"Krysten",6
1969,"Krysti",14
1969,"Krystin",16
1969,"Krystina",7
1969,"Krystine",11
1969,"Krystle",5
1969,"Krystn",5
1969,"Krystyn",5
1969,"Krystyna",11
1970,"Kraig",211
1970,"Kreg",37
1970,"Kregg",19
1970,"Kreig",7
1970,"Kresha",6
1970,"Kresta",5
1970,"Kris",855
1970,"Krisa",9
1970,"Krisandra",9
1970,"Krisann",15
1970,"Krisanne",14
1970,"Krish",5
1970,"Krisha",15
1970,"Krishna",51
1970,"Krisi",10
1970,"Kriss",28
1970,"Krissa",32
1970,"Krissi",6
1970,"Krissie",15
1970,"Krissy",48
1970,"Krist",5
1970,"Krista",2596
1970,"Kristal",197
1970,"Kristalyn",5
1970,"Kristan",148
1970,"Kriste",28
1970,"Kristee",23
1970,"Kristeen",51
1970,"Kristel",49
1970,"Kristelle",9
1970,"Kristen",4649
1970,"Kristena",23
1970,"Kristene",42
1970,"Kristey",6
1970,"Kristi",3155
1970,"Kristia",11
1970,"Kristian",212
1970,"Kristiana",19
1970,"Kristiane",6
1970,"Kristianna",8
1970,"Kristianne",11
1970,"Kristie",1792
1970,"Kristin",5706
1970,"Kristina",3141
1970,"Kristine",3542
1970,"Kristinia",9
1970,"Kristle",8
1970,"Kristn",5
1970,"Kristofer",53
1970,"Kristoffer",25
1970,"Kristofor",9
1970,"Kristol",6
1970,"Kriston",24
1970,"Kristopher",363
1970,"Kristy",1632
1970,"Kristye",8
1970,"Kristyl",7
1970,"Kristyn",90
1970,"Kristyne",14
1970,"Krys",7
1970,"Krysia",6
1970,"Krysta",33
1970,"Krystal",338
1970,"Krysten",17
1970,"Krysti",11
1970,"Krystie",5
1970,"Krystin",7
1970,"Krystina",11
1970,"Krystine",10
1970,"Krystyn",6
1970,"Krystyna",13
1970,"Krzysztof",8
1971,"Kraig",180
1971,"Kreg",25
1971,"Kregg",12
1971,"Kresta",17
1971,"Kris",719
1971,"Krisa",5
1971,"Krisandra",9
1971,"Krisann",20
1971,"Krisanne",15
1971,"Krisha",18
1971,"Krishna",92
1971,"Krisi",5
1971,"Krisie",6
1971,"Kriss",18
1971,"Krissa",12
1971,"Krissi",9
1971,"Krissie",14
1971,"Krissy",43
1971,"Krist",12
1971,"Krista",2417
1971,"Kristal",260
1971,"Kristalyn",6
1971,"Kristan",140
1971,"Kristana",5
1971,"Kriste",27
1971,"Kristee",20
1971,"Kristeen",53
1971,"Kristeena",8
1971,"Kristel",47
1971,"Kristen",4015
1971,"Kristena",17
1971,"Kristene",45
1971,"Kristi",3277
1971,"Kristia",14
1971,"Kristian",272
1971,"Kristiana",11
1971,"Kristiane",7
1971,"Kristianne",17
1971,"Kristie",1875
1971,"Kristin",4918
1971,"Kristina",3066
1971,"Kristine",2969
1971,"Kristinia",14
1971,"Kristle",11
1971,"Kristofer",72
1971,"Kristoffer",42
1971,"Kristofor",10
1971,"Kristol",10
1971,"Kriston",21
1971,"Kristopher",462
1971,"Kristy",1826
1971,"Kristyl",8
1971,"Kristyn",119
1971,"Kristyna",6
1971,"Kristyne",10
1971,"Krysta",30
1971,"Krystal",384
1971,"Krystel",5
1971,"Krysten",11
1971,"Krysti",6
1971,"Krystie",9
1971,"Krystin",11
1971,"Krystina",12
1971,"Krystle",5
1971,"Krystyn",5
1971,"Krystyna",13
1971,"Krzysztof",6
1972,"Kraig",152
1972,"Kreg",23
1972,"Kregg",11
1972,"Kresta",14
1972,"Kris",674
1972,"Krisann",14
1972,"Krisanne",9
1972,"Krisha",17
1972,"Krishna",68
1972,"Krisi",5
1972,"Krisinda",16
1972,"Krislyn",5
1972,"Kriss",15
1972,"Krissa",11
1972,"Krissandra",5
1972,"Krissi",7
1972,"Krissie",13
1972,"Krissy",43
1972,"Krist",9
1972,"Krista",2062
1972,"Kristal",250
1972,"Kristalyn",9
1972,"Kristan",121
1972,"Kriste",26
1972,"Kristee",15
1972,"Kristeen",49
1972,"Kristeena",9
1972,"Kristel",57
1972,"Kristen",3585
1972,"Kristena",24
1972,"Kristene",44
1972,"Kristi",3142
1972,"Kristia",7
1972,"Kristian",267
1972,"Kristiana",19
1972,"Kristiane",11
1972,"Kristiann",11
1972,"Kristianna",10
1972,"Kristianne",7
1972,"Kristie",1745
1972,"Kristieann",5
1972,"Kristien",10
1972,"Kristin",4662
1972,"Kristina",2934
1972,"Kristine",2380
1972,"Kristinia",5
1972,"Kristinn",5
1972,"Kristl",5
1972,"Kristle",8
1972,"Kristna",5
1972,"Kristof",5
1972,"Kristofer",107
1972,"Kristoffer",76
1972,"Kristofor",23
1972,"Kristol",9
1972,"Kriston",25
1972,"Kristopher",718
1972,"Kristy",1838
1972,"Kristye",5
1972,"Kristyn",93
1972,"Kristyna",7
1972,"Krysta",22
1972,"Krystal",454
1972,"Krysten",10
1972,"Krysti",12
1972,"Krystin",10
1972,"Krystina",16
1972,"Krystine",10
1972,"Krystl",5
1972,"Krystle",9
1972,"Krystol",5
1972,"Krystyn",6
1972,"Krystyna",22
1972,"Krzysztof",7
1973,"Kraig",125
1973,"Kreg",24
1973,"Kregg",8
1973,"Kresha",5
1973,"Kresta",10
1973,"Kreston",6
1973,"Kris",572
1973,"Krisa",14
1973,"Krisandra",5
1973,"Krisann",13
1973,"Krisanne",8
1973,"Kriscinda",6
1973,"Krisha",18
1973,"Krishna",60
1973,"Krisi",7
1973,"Krisinda",53
1973,"Kriss",6
1973,"Krissa",10
1973,"Krissi",8
1973,"Krissie",8
1973,"Krissy",41
1973,"Krist",5
1973,"Krista",1959
1973,"Kristain",6
1973,"Kristal",246
1973,"Kristan",124
1973,"Kristanne",6
1973,"Kriste",20
1973,"Kristee",17
1973,"Kristeen",30
1973,"Kristeena",6
1973,"Kristel",72
1973,"Kristen",4995
1973,"Kristena",17
1973,"Kristene",32
1973,"Kristi",2854
1973,"Kristia",15
1973,"Kristian",287
1973,"Kristiana",17
1973,"Kristianna",8
1973,"Kristianne",8
1973,"Kristie",1716
1973,"Kristin",3960
1973,"Kristina",3043
1973,"Kristine",2163
1973,"Kristinia",12
1973,"Kristl",5
1973,"Kristle",10
1973,"Kristofer",142
1973,"Kristoffer",113
1973,"Kristofor",32
1973,"Kristol",6
1973,"Kriston",35
1973,"Kristopher",988
1973,"Kristy",1891
1973,"Kristye",8
1973,"Kristyl",6
1973,"Kristyn",83
1973,"Kristyne",10
1973,"Kritina",5
1973,"Krysta",25
1973,"Krystal",479
1973,"Krystel",9
1973,"Krysten",24
1973,"Krysti",13
1973,"Krystie",7
1973,"Krystin",11
1973,"Krystina",7
1973,"Krystine",6
1973,"Krystle",6
1973,"Krystyna",16
1974,"Kraig",99
1974,"Kreg",20
1974,"Kregg",8
1974,"Kresha",9
1974,"Kresta",15
1974,"Kricket",6
1974,"Kris",584
